ID,Species,Owner,Country.of.Origin,Farm.Name,Company,Region,Producer,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Total.Cup.Points,Moisture,Color,Certification.Body,altitude_mean_meters
219,Arabica,cafebras,Brazil,pantano,cafebras comercio de cafés do brasil sa,cerrado,MAURO GALHERI,Brazil Specialty Coffee Association,2015,"April 24th, 2015",Cafebras,Catuai,Natural / Dry,7.67,7.75,7.75,7.67,7.83,7.75,10.0,10.0,10.0,84.17,0.0,,Brazil Specialty Coffee Association,1150.0
220,Arabica,"ceca, s.a.",Costa Rica,gamboa,"ceca,s.a.",tarrazu,Martin Gutierrez,Specialty Coffee Ass,2014,"April 10th, 2015","CECA,S.A.",Caturra,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8.0,10.0,10.0,10.0,84.17,0.0,Blue-Green,Specialty Coffee Association of Costa Rica,1850.0
221,Arabica,asefa dukamo keroma,Ethiopia,asefa dukamo coffee plantation,asefa dukamo coffee plantetion,snnprg; kafa; telo woreda; shada kebele,Tariku Oljira,METAD Agricultural Development plc,2014,"March 26th, 2015",Asefa Dukamo Keroma,Gesha,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,10.0,84.17,0.1,Green,METAD Agricultural Development plc,1606.5
222,Arabica,selian coffee estate,"Tanzania, United Republic Of",selian coffee estate,selian coffee estate,arusha,Selian Coffee Estate,Africa Fine Coffee Association,2014,"December 12th, 2014",Selian Coffee Estate,Other,Washed / Wet,7.92,7.75,7.75,7.75,7.75,7.58,10.0,10.0,10.0,84.17,0.13,Green,Africa Fine Coffee Association,1400.0
223,Arabica,olam agro colombia,Colombia,,olam international ltd,huila,,Almacafé,2014/2015,"October 15th, 2014",Olam Agro Colombia,Other,Washed / Wet,7.67,7.5,7.67,7.42,7.83,8.58,10.0,10.0,10.0,84.17,0.12,Green,Almacafé,1530.0
224,Arabica,chris finch,Guatemala,,volcafe specialty coffee,,,Specialty Coffee Association,2013,"July 16th, 2014",Chris Finch,,Washed / Wet,7.67,7.75,7.67,7.75,7.75,7.75,10.0,10.0,10.0,84.17,0.11,Bluish-Green,Specialty Coffee Association,
225,Arabica,itochu corporation,Kenya,,taylor winch (coffee) ltd,kenya,,Kenya Coffee Traders Association,2013,"November 7th, 2013",ITOCHU Corporation,SL28,Washed / Wet,7.58,7.75,7.75,7.75,7.75,7.83,10.0,10.0,10.0,84.17,0.08,Green,Kenya Coffee Traders Association,250.5
226,Arabica,owen carver,Brazil,café do paraíso,café do paraíso,"minas gerais, br",Café do Paraíso,Specialty Coffee Association,2012,"May 20th, 2013",Owen Carver,Mundo Novo,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,10.0,84.17,0.11,Green,Specialty Coffee Association,1038.5
227,Arabica,juan luis alvarado romero,Guatemala,la union monte verde,"unex guatemala, s.a.",oriente,"AGRICOLA MONTE VERDE, S.A.",Asociacion Nacional Del Café,2013,"May 9th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,10.0,84.17,0.11,Green,Asociacion Nacional Del Café,1310.64
228,Arabica,atlantic specialty coffee,El Salvador,el majahual,atlantic specialty coffee,apaneca,Aida Batlle,Specialty Coffee Association,2013,"March 18th, 2013",Atlantic Specialty Coffee,Bourbon,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10.0,10.0,84.17,0.11,Bluish-Green,Specialty Coffee Association,1500.0
229,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,huila,,Almacafé,2012,"October 19th, 2012",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,10.0,84.17,0.0,Green,Almacafé,1750.0
230,Arabica,juan luis alvarado romero,Guatemala,el limon,unicafe,guatemala,WILLIAM ESTUARDO MARTINEZ PACHECO,Asociacion Nacional Del Café,2012,"March 26th, 2012",Juan Luis Alvarado Romero,Catuai,Natural / Dry,7.83,7.5,7.5,8.0,7.83,7.83,10.0,10.0,10.0,84.17,0.11,Bluish-Green,Asociacion Nacional Del Café,
231,Arabica,afca,Uganda,,great lakes coffee,mt. rwenzori,,Africa Fine Coffee Association,2012,"February 13th, 2012",AFCA,Other,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,10.0,10.0,10.0,84.17,0.11,Green,Africa Fine Coffee Association,1600.0
232,Arabica,pt.royal pacific indah international,Indonesia,"mus, eman",pt. royal pacific indah international,aceh tengah,ANTON GAYO,Specialty Coffee Association of Indonesia,2017,"May 24th, 2017",PT.ROYAL PACIFIC INDAH INTERNATIONAL,Mandheling,Natural / Dry,7.81,7.88,7.56,7.75,7.63,7.75,10.0,10.0,10.0,84.13,0.12,Bluish-Green,Specialty Coffee Association of Indonesia,
233,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,Almacafé,2017 / 2018,"November 9th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,10.0,10.0,10.0,84.08,0.0,Green,Almacafé,442.0
234,Arabica,"lin, che-hao krude 林哲豪",Taiwan,chang yu liang 張玉良,taiwan coffee laboratory,"nanxi dist., tainan city 臺南市楠西區",CHANG YU LIANG 張玉良,Specialty Coffee Association,2016,"May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Typica,Washed / Wet,7.58,7.67,7.67,7.67,7.75,7.83,10.0,10.0,10.0,84.08,0.1,Bluish-Green,Specialty Coffee Association,968.0
235,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,"unex guatemala, s.a.",oriente,MARGARITA AVILA DE NUYENS,Asociacion Nacional Del Café,2016,"April 27th, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8.0,7.75,7.5,7.58,7.92,7.67,10.0,10.0,10.0,84.08,0.1,Green,Asociacion Nacional Del Café,
236,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,huila,La Plata,Almacafé,2014,"November 5th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.92,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,84.08,0.0,,Almacafé,1775.0
237,Arabica,lusso lab,Guatemala,aprocafi,lusso coffee lab,"aldea xeucalvitz, ixil region, quiche department",Asociacion de Productores de Cafe de la Region Ixil,Specialty Coffee Association,2014,"June 16th, 2014",LUSSO LAB,Bourbon,Washed / Wet,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,10.0,84.08,0.1,Bluish-Green,Specialty Coffee Association,1550.0
238,Arabica,kona pacific farmers cooperative,United States (Hawaii),,kona pacific farmers cooperative,kona,,Specialty Coffee Association,2012,"January 24th, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10.0,10.0,84.08,0.11,Green,Specialty Coffee Association,
239,Arabica,andres martinez leon,Mexico,la lagunilla,,santo domingo cacalotepec,ANDRES MARTINEZ LEON,AMECAFE,2012,"September 4th, 2012",ANDRES MARTINEZ LEON,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,10.0,84.08,0.11,Green,AMECAFE,1480.0
240,Arabica,steven kil,Ethiopia,,the specialty coffee appraisers institute of asia,"ethiopia, sidamo",,Specialty Coffee Association,2012,"August 17th, 2012",Steven Kil,Other,Natural / Dry,7.92,7.92,7.83,8.0,7.92,7.92,10.0,10.0,8.67,84.08,0.09,,Specialty Coffee Association,1800.0
241,Arabica,amanda powers,Costa Rica,,thrive farmers,,,Specialty Coffee Association,2017,"January 11th, 2018",Amanda Powers,,Washed / Wet,7.58,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,84.0,0.08,,Specialty Coffee Association,
242,Arabica,kyagalanyi coffee ltd,Ethiopia,kerchanshe,kyagalanyi coffee ltd,sidamo,Kerchanshe Trading P.L.C,Uganda Coffee Development Authority,2017,"June 5th, 2017",Kyagalanyi Coffee Ltd,Gesha,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,10.0,84.0,0.11,Green,Uganda Coffee Development Authority,1800.0
243,Arabica,bismarck castro,Honduras,las cuchillas,cigrah s.a de c.v,comayagua,Nahun Maldonado,Instituto Hondureño del Café,2017,"May 11th, 2017",Bismarck Castro,Caturra,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,10.0,10.0,10.0,84.0,0.1,Green,Instituto Hondureño del Café,1500.0
244,Arabica,juan luis alvarado romero,Guatemala,finca los cerros y anexos,exportcafe,huehuetenango,OTONIEL VILLATORO LOPEZ,Asociacion Nacional Del Café,2015,"June 10th, 2015",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,10.0,84.0,0.12,Green,Asociacion Nacional Del Café,1706.88
245,Arabica,olam agro colombia,Colombia,,olam international ltd,huila,,Almacafé,2014/2015,"December 18th, 2014",Olam Agro Colombia,Other,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,10.0,10.0,10.0,84.0,0.11,Green,Almacafé,1600.0
246,Arabica,juan luis alvarado romero,Guatemala,el papaturro,"unex guatemala, s.a.",oriente,AMILCAR LAPOLA,Asociacion Nacional Del Café,2014,"August 8th, 2014",Juan Luis Alvarado Romero,Bourbon,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,10.0,84.0,0.1,Green,Asociacion Nacional Del Café,1219.2
247,Arabica,juan luis alvarado romero,Guatemala,el papaturro,"unex guatemala, s.a.",oriente,AMILCAR LAPOLA,Asociacion Nacional Del Café,2014,"June 27th, 2014",Juan Luis Alvarado Romero,Bourbon,Other,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,10.0,84.0,0.1,Green,Asociacion Nacional Del Café,1219.2
248,Arabica,olam agro colombia,Colombia,,olam international ltd,huila,,Almacafé,2014,"May 27th, 2014",Olam Agro Colombia,,Washed / Wet,7.67,7.75,7.67,7.67,7.67,7.75,10.0,10.0,10.0,84.0,0.12,Green,Almacafé,1480.0
249,Arabica,compañia colombiana agroindustrial s.a,Colombia,,ecom cca sa,santander,,Almacafé,2014,"May 27th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,10.0,10.0,10.0,84.0,0.12,Green,Almacafé,1450.0
250,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,huila,La Plata,Almacafé,2014,"April 8th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10.0,10.0,10.0,84.0,0.12,Green,Almacafé,1775.0
251,Arabica,lusso lab,Ethiopia,,lusso coffee lab,sidamo,,Specialty Coffee Association,2013,"January 17th, 2014",LUSSO LAB,Other,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,10.0,84.0,0.09,Green,Specialty Coffee Association,1550.0
252,Arabica,ipanema coffees,Brazil,fazenda rio verde,ipanema coffees,south of minas,Ipanema Coffees,Specialty Coffee Association,2013/2014,"January 2nd, 2014",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,10.0,84.0,0.1,Green,Specialty Coffee Association,1260.0
253,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,cauca,,Almacafé,2013,"June 21st, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,10.0,84.0,0.11,Green,Almacafé,1700.0
254,Arabica,ibero kenya limited,Kenya,,ibero kenya limited,blend,Blend of various producers,Kenya Coffee Traders Association,2012,"March 8th, 2013",Ibero Kenya Limited,SL34,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,10.0,84.0,0.0,Green,Kenya Coffee Traders Association,1200.0
255,Arabica,doi tung development project,Thailand,doi tung development project,mae fah luang foundation,thailand,Doi Tung Development Project,Specialty Coffee Association,2012,"June 21st, 2012",Doi Tung Development Project,Other,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,84.0,0.12,Green,Specialty Coffee Association,
256,Arabica,taylor winch (coffee) ltd.,Kenya,-,taylor winch (coffee) ltd,central kenya,-,Kenya Coffee Traders Association,2012,"May 31st, 2012",Taylor Winch (Coffee) Ltd.,SL28,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,10.0,84.0,0.0,Bluish-Green,Kenya Coffee Traders Association,1650.0
257,Arabica,afca,Uganda,,bukonzo joint cfs,kasese,,Africa Fine Coffee Association,2012,"February 13th, 2012",AFCA,Other,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,10.0,84.0,0.1,Green,Africa Fine Coffee Association,1700.0
258,Arabica,doi tung development project,Thailand,doi tung development project,,,,Specialty Coffee Association,2011,"August 16th, 2011",Doi Tung Development Project,,,7.58,7.75,7.58,7.75,7.58,7.75,10.0,10.0,10.0,84.0,0.06,,Specialty Coffee Association,
259,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,ipanema coffees,south of minas,Ipanema Agricola S.A,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,10.0,83.92,0.0,Green,Brazil Specialty Coffee Association,890.0
260,Arabica,cafes tomari sa de cv,Mexico,cafetal,cafes tomari sa de cv,veracruz,CAFES TOMARI SA DE CV,Centro Agroecológico del Café A.C.,2017,"July 3rd, 2017",CAFES TOMARI SA DE CV,Mundo Novo,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,10.0,83.92,0.11,Green,Centro Agroecológico del Café A.C.,1300.0
261,Arabica,sarawut premjit,Thailand,saveg coffee farm,intercof 1978 group company limited,chiangrai,"Phatang, Saveg",Specialty Coffee Association,2015,"October 18th, 2016",Sarawut Premjit,Catimor,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,10.0,83.92,0.1,Bluish-Green,Specialty Coffee Association,1350.0
262,Arabica,ipanema coffees,Brazil,capoeirinha,ipanema coffees,south of minas,Ipanema Agricola,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,83.92,0.11,Green,Brazil Specialty Coffee Association,934.0
263,Arabica,"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,taiwan coffee laboratory,"leye, alishan township, chiayi county 嘉義阿里山樂野村","FANG,ZHENG-LUN 方政倫",Specialty Coffee Association,2015,"May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Typica,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10.0,10.0,83.92,0.11,Green,Specialty Coffee Association,1200.0
264,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,Almacafé,2016,"February 11th, 2016",CARCAFE LTDA CI,,,7.75,7.67,7.5,7.75,7.83,7.75,10.0,10.0,10.0,83.92,0.11,Green,Almacafé,442.0
265,Arabica,almacafe,Colombia,,racafe & cia s.c.a,la plata,,Almacafé,2016,"January 21st, 2016",ALMACAFE,,,7.75,7.58,7.5,7.83,7.75,7.92,10.0,10.0,10.0,83.92,0.0,,Almacafé,
266,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,very famous intl.名門義理國際股份有限公司,宸嶧國際,台灣,YANG TENG KO楊登嵙,Blossom Valley International,2014,"November 7th, 2015",CQI Taiwan ICP CQI台灣合作夥伴,,Natural / Dry,7.75,7.75,7.58,7.75,7.75,7.67,10.0,10.0,10.0,83.92,0.0,Blue-Green,Blossom Valley International,
267,Arabica,federacion nacional de cafeteros,Colombia,,federacion nacional de cafeteros,huila,,Almacafé,2015,"August 18th, 2015",Federacion Nacional de Cafeteros,,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,10.0,10.0,10.0,83.92,0.0,,Almacafé,
268,Arabica,federacion nacional de cafeteros,Colombia,,federacion nacional de cafeteros,huila,,Almacafé,2014,"March 12th, 2015",Federacion Nacional de Cafeteros,,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,10.0,10.0,10.0,83.92,0.0,,Almacafé,
269,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,huila,La Plata,Almacafé,2014,"December 12th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,10.0,83.92,0.0,Green,Almacafé,1775.0
270,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,神谷山莊園,宸嶧國際,台中和平區,張瑞宏,Blossom Valley International,2014,"November 23rd, 2014",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Washed / Wet,8.0,7.92,7.92,7.92,7.67,7.33,10.0,10.0,10.0,83.92,0.06,Green,Blossom Valley International,950.0
271,Arabica,compañia colombiana agroindustrial s.a,Colombia,,ecom cca sa,santander,,Almacafé,2014,"January 17th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,10.0,83.92,0.12,Green,Almacafé,1550.0
272,Arabica,oscar ortega carballo,Mexico,finca cuetzalingo,agro xicotepec 2000,xicotepec de juarez,OSCAR ORTEGA CARBALLO,AMECAFE,2012,"July 3rd, 2012",OSCAR ORTEGA CARBALLO,Typica,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,83.92,0.12,Blue-Green,AMECAFE,900.0
273,Arabica,alfredo bojalil,Mexico,finca sant rosa,ecomtrading,la concordia,ARTURO LIEVANO MORENO,AMECAFE,2012,"June 6th, 2012",ALFREDO BOJALIL,Typica,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,10.0,83.92,0.11,,AMECAFE,1500.0
274,Arabica,organizaciones de productores de cafe colimense,Mexico,comunidad la yerbabuena,organizaciones de productores de cafe colimense sa de cv,la yerbabuena,coop,AMECAFE,2012,"April 2nd, 2012",ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,10.0,83.92,0.0,Green,AMECAFE,1400.0
275,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,nariño,Jose Albeiro gomez,Almacafé,2017,"June 30th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,10.0,83.83,0.0,Green,Almacafé,2527.0
276,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,huila,La Plata,Almacafé,2016,"March 14th, 2017",Racafe & Cia S.C.A,Caturra,,7.83,7.67,7.5,7.75,7.75,7.75,10.0,10.0,10.0,83.83,0.0,Green,Almacafé,
277,Arabica,"ceca, s.a.",Costa Rica,gamboa,"ceca,s.a.",tarrazu,Martin Gutierrez,Specialty Coffee Association of Costa Rica,2015,"June 6th, 2016","CECA, S.A.",Caturra,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,10.0,83.83,0.0,Blue-Green,Specialty Coffee Association of Costa Rica,1850.0
278,Arabica,juan luis alvarado romero,Guatemala,finca medina,"siembras vision, s.a.",antigua,FINCA MEDINA,Asociacion Nacional Del Café,2016,"May 23rd, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,10.0,83.83,0.11,Green,Asociacion Nacional Del Café,1500.0
279,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,優遊吧斯股份有限公司yuyupas international corp.,宸嶧國際,台灣,鄭虞坪,Blossom Valley International,2016,"February 23rd, 2016",CQI Taiwan ICP CQI台灣合作夥伴,,,7.75,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,83.83,0.0,,Blossom Valley International,1200.0
280,Arabica,ipanema coffees,Brazil,rio verde,ipanema coffees,south of minas,Ipanema Agrícola SA,Brazil Specialty Coffee Association,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,10.0,83.83,0.0,Green,Brazil Specialty Coffee Association,1.0
281,Arabica,"lin, che-hao krude 林哲豪",Taiwan,鄉舍咖啡 hometown coffee,taiwan coffee laboratory,"dongshan dist., tainan city 臺南市東山區",ZENG JIAN NAN 曾建男,Specialty Coffee Association,2014,"April 30th, 2015","Lin, Che-Hao Krude 林哲豪",Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,10.0,83.83,0.0,Green,Specialty Coffee Association,525.0
282,Arabica,yasmin cofffee plantation plc,Ethiopia,,yasmin coffee plantation plc,oromia,Sumeya Yasin,METAD Agricultural Development plc,2014,"March 31st, 2015",yasmin Cofffee Plantation Plc,,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,83.83,0.12,Green,METAD Agricultural Development plc,1676.5
283,Arabica,ipanema coffees,Brazil,rio verde,ipanema coffees,south of minas,Ipanema Agrícola SA,Specialty Coffee Association,2014/2015,"October 16th, 2014",Ipanema Coffees,Bourbon,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,83.83,0.0,Green,Specialty Coffee Association,1200.0
284,Arabica,eric thormaehlen,Costa Rica,various,coricafe s.a.,central valley,VARIOS,Specialty Coffee Association of Costa Rica,2013,"June 9th, 2014",Eric Thormaehlen,Catuai,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,10.0,83.83,0.1,Green,Specialty Coffee Association of Costa Rica,1300.0
285,Arabica,juan luis alvarado romero,Guatemala,el papaturro,"unex guatemala, s.a.",oriente,AMILCAR LAPOLA,Asociacion Nacional Del Café,2014,"May 22nd, 2014",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,10.0,83.83,0.1,Green,Asociacion Nacional Del Café,1219.2
286,Arabica,ipanema coffees,Brazil,fazenda rio verde,ipanema coffees,south of minas,Ipanema Coffees,Specialty Coffee Association,2013/2014,"December 26th, 2013",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,83.83,0.1,Green,Specialty Coffee Association,1260.0
287,Arabica,garet alban,Ecuador,finca el trueno,sultana del cafe inc.,"province of manabi, ecuador",,Specialty Coffee Association,2013,"October 4th, 2013",Garet Alban,,Natural / Dry,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,10.0,83.83,0.09,Bluish-Green,Specialty Coffee Association,800.0
288,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,huila,,Almacafé,2013,"September 3rd, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,83.83,0.11,Green,Almacafé,1750.0
289,Arabica,juan luis alvarado romero,Guatemala,finca el morito,"unex guatemala, s.a.",oriente,ROBERTO MONTERROSO,Asociacion Nacional Del Café,2013,"April 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,83.83,0.11,Green,Asociacion Nacional Del Café,1310.64
290,Arabica,filemon mendoza campos,Mexico,predio cañada del encino,,petatlan,FILEMON MENDOZA CAMPOS,AMECAFE,2012,"July 26th, 2012",FILEMON MENDOZA CAMPOS,Bourbon,Natural / Dry,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,10.0,83.83,0.1,Green,AMECAFE,1218.0
291,Arabica,alfredo bojalil,Mexico,finca santa teresa,ecomtrading,"la concordia, chiapas",ERNST POHLENZ AGUILAR,AMECAFE,2012,"June 6th, 2012",ALFREDO BOJALIL,Pacas,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,10.0,83.83,0.11,,AMECAFE,1300.0
292,Arabica,jacques pereira carneiro,Brazil,fazenda do sertao,exportadora de cafés carmo de minas ltda,carmo de minas,Nazareth Dias Pereira,NUCOFFEE,2011/2012,"December 21st, 2011",Jacques Pereira Carneiro,Yellow Bourbon,Semi-washed / Semi-pulped,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,83.83,0.12,Green,NUCOFFEE,1250.0
293,Arabica,doi chaang coffee company,Thailand,"doi chaang coffee original co.,ltd",,"doi chaang village, chiang rai, thialand",Doi Chaang Community Enterprise Piko,Specialty Coffee Association,2011,"September 20th, 2011",Doi Chaang Coffee Company,,,7.75,7.75,7.58,8.0,7.67,7.58,10.0,10.0,10.0,83.83,0.02,,Specialty Coffee Association,1499.9208
294,Arabica,doi tung development project,Thailand,doi tung development project,,,,Specialty Coffee Association,2011,"August 16th, 2011",Doi Tung Development Project,,,7.5,7.83,7.58,7.58,7.75,7.83,10.0,10.0,10.0,83.83,0.01,,Specialty Coffee Association,
295,Arabica,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",,sidamo,Contact name | ATO Teshome Belamo,Ethiopia Commodity Exchange,2010,"June 17th, 2010",Ethiopia Commodity Exchange,,,7.58,7.83,7.58,8.0,7.83,7.5,10.0,10.0,10.0,83.83,0.1,,Ethiopia Commodity Exchange,
296,Arabica,kennedy macharia,Kenya,,taylor winch (coffee) ltd,nyeri,KAROGOTO,Kenya Coffee Traders Association,,"January 11th, 2018",Kennedy Macharia,SL28,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,10.0,83.75,0.11,Green,Kenya Coffee Traders Association,1800.0
297,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,ipanema coffees,south of minas,Ipanema Agricola S.A,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,83.75,0.11,Green,Brazil Specialty Coffee Association,890.0
298,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,Almacafé,2017,"September 28th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,10.0,83.75,0.11,Green,Almacafé,442.0
299,Arabica,"lin, che-hao krude 林哲豪",Taiwan,崁頭山咖啡館 (kan tou mountain coffee),taiwan coffee laboratory,"台南市東山區 (dongshan dist., tainan city)",曾如楓 & 郭俊宏 (Tseng Ju Feng & Kuo Jun Hong),Specialty Coffee Association,2016,"June 6th, 2017","Lin, Che-Hao Krude 林哲豪",Typica,Natural / Dry,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,10.0,83.75,0.0,Green,Specialty Coffee Association,750.0
300,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,huila,La Plata,Almacafé,2016,"February 15th, 2017",Racafe & Cia S.C.A,,Washed / Wet,7.92,7.75,7.5,7.67,7.75,7.5,10.0,10.0,10.0,83.75,0.0,Green,Almacafé,
